,activity,entity,place
0,US US ,US,US
1,US US ,US,US
2,US US ,US,US
3,US US ,US,US
4,US US ,US,US
5,US US ,CNN,US
6,US US ,CNN,US
7,US US ,CNN,US
8,US US ,CNN,US
9,US US ,CNN,US
10,US US ,CNN,US
11,US US ,CNN,US
12,US US ,CNN,US
13,US US ,CNN,US
14,US US ,CNN,US
15,US US ,CNN,US
16,US US ,CNN,US
17,US US ,CNN,US
18,US US ,CNN,US
19,US US ,CNN,US
20,US US ,CNN,US
21,US US ,CNN,US
22,US US ,CNN,US
23,US US ,CNN,US
24,US US ,CNN,US
25,US US ,CNN,US
26,US US ,CNN,US
27,US US ,CNN,US
28,US US ,CNN,US
29,US US ,CNN,US
30,US US ,CNN,US
31,US US ,CNN,US
32,US US ,CNN,US
33,US US ,CNN,US
34,US US ,CNN,US
35,US US ,CNN,US
36,US US ,CNN,US
37,US US ,CNN,US
38,US US ,CNN,US
